Año;Institucion licitante;Procedimientos iniciados;Procedimientos licitados;Monto adjudicado en colones;Porcentaje
2018;MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES;209;166;3425026776;0.28
2018;UNIVERSIDAD TECNICA NACIONAL (UTN);709;666;3309353588;0.27
2018;MUNICIPALIDAD DE SARAPIQUI;611;589;3157739078;0.26
2018;HOSPITAL SAN VICENTE DE PAUL;187;174;3118070759;0.25
2018;JUNTA ADMINISTRATIVA DEL REGISTRO NACIONAL;306;251;3041612125;0.25
2018;PROMOTORA DE COMERCIO EXTERIOR DE COSTA RICA;152;145;2946264355;0.24
2018;INSTITUTO MIXTO DE AYUDA SOCIAL;185;139;2805405539;0.23
2018;MUNICIPALIDAD DE BUENOS AIRES;269;229;2770278203;0.23
2018;CORPORACION BANANERA NACIONAL;1968;1840;2725326601;0.22
2018;MUNICIPALIDAD DE HEREDIA;542;482;2721133951;0.22
2018;HOSPITAL DOCTOR ENRIQUE BALTODANO BRICEÑO;117;99;2602510537;0.21
2018;ASAMBLEA LEGISLATIVA;183;153;2593758696;0.21
2018;MUNICIPALIDAD DE SIQUIRRES;385;366;2572294344;0.21
2018;MINISTERIO DE HACIENDA;208;168;2562401381;0.21
2018;HOSPITAL DR. MAX PERALTA DE CARTAGO;206;198;2510689237;0.2
2018;HOSPITAL DE LAS MUJERES ADOLFO CARIT EVA;106;104;2503509418;0.2
2018;MUNICIPALIDAD DE PUNTARENAS;678;594;2414781232;0.2
2018;MUNICIPALIDAD DE OSA;233;206;2356468790;0.19
2018;CONSEJO NACIONAL DE RECTORES (CONARE);458;410;2327186755;0.19
2018;MUNICIPALIDAD DE UPALA;194;188;2274765429;0.19
2018;SUPERINTENDENCIA DE TELECOMUNICACIONES (SUTEL);76;69;2209350982;0.18
2018;MUNICIPALIDAD DE GOLFITO;88;49;2203872487;0.18
2018;MUNICIPALIDAD DE MONTES DE OCA;350;313;2200292234;0.18
2018;MUNICIPALIDAD DE ESCAZU;246;199;2156943098;0.18
2018;MINISTERIO DE CULTURA Y JUVENTUD;278;216;2146736467;0.18
2018;MUNICIPALIDAD DE GARABITO;195;185;2143236893;0.17
2018;HOSPITAL DOCTOR FERNANDO ESCALANTE PRADILLA;173;163;2127734770;0.17
2018;SERVICIO FITOSANITARIO DEL ESTADO;180;146;2121898132;0.17
2018;INSTITUTO COSTARRICENSE DEL DEPORTE Y LA RECREACION (ICODER);116;101;2103343949;0.17
2018;MUNICIPALIDAD DE CORREDORES;103;90;2079922426;0.17
2018;INS SERVICIOS SOCIEDAD ANONIMA;168;134;2058677655;0.17
2018;MUNICIPALIDAD DE SAN RAMON;247;216;2034195561;0.17
2018;MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA;282;237;2018149895;0.16
2018;MINISTERIO DE AGRICULTURA Y GANADERIA;109;90;1994817955;0.16
2018;MUNICIPALIDAD DE OROTINA;196;171;1945902325;0.16
2018;MUNICIPALIDAD DE LA UNION;230;202;1855704473;0.15
2018;MUNICIPALIDAD DE COTO BRUS;87;82;1849212938;0.15
2018;MUNICIPALIDAD DE ABANGARES;135;128;1792894586;0.15
2018;MUNICIPALIDAD DE GOICOECHEA;283;196;1791099448;0.15
2018;AUTORIDAD REGULADORA DE LOS SERVICIOS PUBLICOS;149;133;1739660183;0.14
2018;MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA;118;117;1738274505;0.14
2018;MUNICIPALIDAD DE TARRAZU;88;83;1733791817;0.14
2018;MUNICIPALIDAD DE LA CRUZ GUANACASTE;299;261;1719924741;0.14
2018;MUNICIPALIDAD DE ESPARZA;200;174;1703439937;0.14
2018;MUNICIPALIDAD DE NARANJO;262;198;1700622051;0.14
2018;MUNICIPALIDAD DE PALMARES;325;304;1696402380;0.14
2018;INSTITUTO COSTARRICENSE DE PESCA Y ACUICULTURA;71;59;1668010810;0.14
2018;MUNICIPALIDAD DE PURISCAL;166;146;1626545185;0.13
2018;MUNICIPALIDAD DE QUEPOS;276;235;1624384293;0.13
2018;INSTITUTO NACIONAL DE LAS MUJERES;83;68;1615527658;0.13
2018;MUNICIPALIDAD DE CAÑAS;244;238;1603356189;0.13
2018;MUNICIPALIDAD DE PARAISO;519;512;1598865025;0.13
2018;MUNICIPALIDAD DE BAGACES;103;101;1582855905;0.13
2018;HOSPITAL DE LA ANEXION;54;55;1567966119;0.13
2018;MUNICIPALIDAD DE PARRITA;44;38;1543133937;0.13
2018;CONSEJO NACIONAL DE PERSONAS CON DISCAPACIDAD (CONAPDIS);280;244;1536953353;0.13
2018;MUNICIPALIDAD DE MORAVIA;425;384;1523734364;0.12
2018;MUNICIPALIDAD DE TALAMANCA;215;208;1517672555;0.12
2018;MUNICIPALIDAD DE GRECIA;796;680;1468687212;0.12
2018;MUNICIPALIDAD DE LIMON;353;302;1455841965;0.12
2018;JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO (JASE;153;127;1451712134;0.12
2018;MUNICIPALIDAD DE GUACIMO;280;269;1418126236;0.12
2018;INSTITUTO NACIONAL DE ESTADISTICAS Y CENSOS;171;147;1374565758;0.11
2018;MUNICIPALIDAD DE ZARCERO;204;194;1356068142;0.11
2018;HOSPITAL TONY FACIO CASTRO;165;158;1347092572;0.11
2018;FONDO NACIONAL DE BECAS;33;30;1336290746;0.11
2018;MUNICIPALIDAD DE VASQUEZ DE CORONADO;382;337;1333075140;0.11
2018;TEATRO POPULAR MELICO SALAZAR;207;174;1292564796;0.11
2018;SERVICIO NACIONAL DE SALUD ANIMAL;105;94;1285318199;0.1
2018;HOSPITAL MONSEÑOR SANABRIA;132;123;1275329609;0.1
2018;CENTRO NACIONAL DE REHABILITACION DR. HUMBERTO ARAYA ROJAS;82;73;1266197829;0.1
2018;CORREOS DE COSTA RICA S.A.;232;180;1261721459;0.1
2018;MUNICIPALIDAD DE ALAJUELITA;175;169;1239859488;0.1
2018;INSTITUTO DEL CAFE DE COSTA RICA;268;240;1217008671;0.1
2018;UNIVERSIDAD ESTATAL A DISTANCIA (UNED);128;85;1207240035;0.1
2018;OFICINA DE COOPERACION INTERNACIONAL DE LA SALUD;46;14;1203104447;0.1
2018;MUNICIPALIDAD DE NICOYA;252;247;1201371846;0.1
2018;MUNICIPALIDAD DE LOS CHILES;61;11;1189250664;0.1
2018;HOSPITAL CARLOS VALVERDE VEGA;85;84;1174462454;0.1
2018;MINISTERIO DE AMBIENTE Y ENERGIA (MINAE);61;56;1168259689;0.1
2018;MUNICIPALIDAD DE TILARAN;81;80;1153452251;0.09
2018;MUNICIPALIDAD DE HOJANCHA;307;307;1138455395;0.09
2018;MUNICIPALIDAD DE MONTES DE ORO;595;586;1134647478;0.09
2018;MUNICIPALIDAD DE EL GUARCO;559;536;1130442587;0.09
2018;HOSPITAL DE SAN VITO DE COTO BRUS;57;49;1128910830;0.09
2018;HOSPITAL NACIONAL PSIQUIATRICO;111;94;1099131008;0.09
2018;HOSPITAL WILLIAM ALLEN T. DE TURRIALBA;69;68;1096503116;0.09
2018;HOSPITAL SAN FRANCISCO DE ASIS, GRECIA;79;77;1088909268;0.09
2018;PROGRAMA INTEGRAL DE MERCADEO AGROPECUARIO;286;242;1077424051;0.09
2018;MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA;201;168;1053659446;0.09
2018;MUNICIPALIDAD DE TURRUBARES;92;87;1053551030;0.09
2018;HOSPITAL DE SAN CARLOS;64;57;1032963637;0.08
2018;HOSPITAL DE GOLFITO;92;92;1018551236;0.08
2018;MINISTERIO DE SALUD;81;36;1017429228;0.08
2018;MUNICIPALIDAD DE MATINA;126;117;1002719014;0.08
2018;MUNICIPALIDAD DE DOTA;156;155;997414278;0.08
2018;MUNICIPALIDAD DE LIBERIA;138;111;992054494;0.08
2018;CONCEJO MUNICIPAL DE DISTRITO DE COBANO;135;127;974050768;0.08
2018;HOSPITAL NACIONAL DE GERIATRIA Y GERONTOLOGIA DOCTOR RAUL BLANCO CERVA;120;119;960041670;0.08
2018;MUNICIPALIDAD DE ACOSTA;230;210;954699286;0.08
2018;JUNTA ADMINISTRATIVA DE LA DIRECCION GENERAL DE MIGRACION Y EXTRANJERI;84;63;940009563;0.08
2018;MUNICIPALIDAD DE SANTA CRUZ;220;172;919776212;0.08
2018;HOSPITAL DE GUAPILES;111;102;912169265;0.07
2018;MUNICIPALIDAD DE OREAMUNO;19;18;908513183;0.07
2018;MUNICIPALIDAD DE SARCHI;141;124;890767210;0.07
2018;COMISION NACIONAL DE PRESTAMOS PARA EDUCACION;234;213;886419427;0.07
2018;MUNICIPALIDAD DE POAS;311;307;876359202;0.07
2018;MUNICIPALIDAD DE MORA;310;265;875503482;0.07
2018;INSTITUTO DE DESARROLLO PROFESIONAL ULADISLAO GAMEZ SOLANO;155;118;847642093;0.07
2018;MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL;99;84;831981197;0.07
2018;COLEGIO UNIVERSITARIO DE CARTAGO;270;255;811563224;0.07
2018;MUNICIPALIDAD DE ATENAS;348;326;807037376;0.07
2018;SERVICIO NACIONAL DE AGUAS SUBTERRANEAS RIEGO Y AVENAMIENTO;258;234;800629800;0.07
2018;MUNICIPALIDAD DE BARVA;37;32;787871002;0.06
2018;MUSEO NACIONAL DE COSTA RICA;150;117;786514773;0.06
2018;HOSPITAL TOMAS CASAS CASAJUS CIUDAD CORTES;98;84;731212370;0.06
2018;MUNICIPALIDAD DE BELEN;137;112;722053699;0.06
2018;JUNTA ADMINISTRATIVA DE LA IMPRENTA NACIONAL;104;80;708739686;0.06
2018;ASOCIACION CRUZ ROJA COSTARRICENSE;145;84;696883583;0.06
2018;INSTITUTO NACIONAL DE FOMENTO COOPERATIVO;127;93;686642697;0.06
2018;INSTITUTO COSTARRICENSE DE INVESTIGACION Y ENSEÑANZA EN NUTRICION Y SA;32;31;671621564;0.05
2018;MUNICIPALIDAD DE SAN PABLO DE HEREDIA;162;153;663215180;0.05
2018;HOSPITAL DE CIUDAD NEILY;95;85;662975735;0.05
2018;BANCO HIPOTECARIO DE LA VIVIENDA (BANHVI);232;192;658370243;0.05
2018;MUNICIPALIDAD DE GUATUSO;191;177;651654867;0.05
2018;HOSPITAL MAX TERAN VALLS DE QUEPOS;53;48;638938499;0.05
2018;INSTITUTO DE FOMENTO Y ASESORIA MUNICIPAL (IFAM);79;71;630468177;0.05
2018;CONTRALORIA GENERAL DE LA REPUBLICA DE COSTA RICA;296;257;616265608;0.05
2018;JUNTA ADMINISTRATIVA DEL ARCHIVO NACIONAL;158;136;600290041;0.05
2018;MUNICIPALIDAD DE FLORES;93;72;596436576;0.05
2018;MINISTERIO DE CIENCIA, TECNOLOGIA Y TELECOMUNICACIONES (MICITT);91;79;580630002;0.05
2018;MINISTERIO DE COMERCIO EXTERIOR;132;102;570400207;0.05
2018;MUNICIPALIDAD DE LEON CORTES;8;8;530063054;0.04
2018;MUNICIPALIDAD DE JIMENEZ;17;12;526035767;0.04
2018;JUNTA DE DESARROLLO REGIONAL DE LA ZONA SUR DE LA PROVINCIA DE PUNTARE;29;27;498586535;0.04
2018;MUNICIPALIDAD DE TIBAS;152;119;479535675;0.04
2018;MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA;151;138;476502920;0.04
2018;INSTITUTO NACIONAL DE INNOVACION TECNOLOGICA AGROPECUARIA INTA;123;105;458956525;0.04
2018;BN SOCIEDAD ADMINISTRADORA DE FONDOS DE INVERSION S.A;42;32;447801649;0.04
2018;CONCEJO MUNICIPAL DE DISTRITO DE MONTEVERDE DE PUNTARENAS;101;94;443000173;0.04
2018;CONSEJO DE TRANSPORTE PUBLICO;118;93;438045767;0.04
2018;TEATRO NACIONAL;119;97;416679961;0.03
2018;INSTITUTO COSTARRICENSE SOBRE DROGAS;120;98;411619724;0.03
2018;MUNICIPALIDAD DE ASERRI;14;10;409027159;0.03
2018;TRIBUNAL REGISTRAL ADMINISTRATIVO;68;58;408041317;0.03
2018;CENTRO COSTARRICENSE DE PRODUCCION CINEMATOGRAFICA;11;7;399299005;0.03
2018;MUNICIPALIDAD DE NANDAYURE;3;3;377444430;0.03
2018;SISTEMA NACIONAL DE RADIO Y TELEVISION SOCIEDAD ANONIMA (SINART);62;55;365278069;0.03
2018;CONSEJO RECTOR SISTEMA DE BANCA PARA EL DESARROLLO;82;64;347697979;0.03
2018;CONCEJO MUNICIPAL DE DISTRITO LEPANTO;53;50;337198472;0.03
2018;CABLE VISION DE COSTA RICA CVCR S.A.;20;13;336904638;0.03
2018;MINISTERIO DE ECONOMIA INDUSTRIA Y COMERCIO;101;87;326868330;0.03
2018;DIRECCION NACIONAL DE NOTARIADO;60;51;322714467;0.03
2018;DEFENSORIA DE LOS HABITANTES DE LA REPUBLICA;157;132;317234354;0.03
2018;CONCEJO MUNICIPAL DEL DISTRITO DE PAQUERA PUNTARENAS;42;41;316123119;0.03
2018;OPERADORA DE PLANES DE PENSIONES COMPLEMENTARIAS DEL BANCO POPULAR Y D;58;39;315571417;0.03
2018;INSTITUTO NACIONAL DE VIVIENDA Y URBANISMO;55;49;312934684;0.03
2018;COLEGIO UNIVERSITARIO DE LIMON;36;30;293873442;0.02
2018;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;147;128;290716032;0.02
2018;MUNICIPALIDAD DE ALVARADO DE PACAYAS;146;130;288073091;0.02
2018;BANCO CREDITO AGRICOLA DE CARTAGO;14;17;283564346;0.02
2018;COMITE CANTONAL DE DEPORTE Y RECREACION DE BELEN;31;23;280235311;0.02
2018;CONCEJO MUNICIPAL DE DISTRITO DE CERVANTES;295;275;273880567;0.02
2018;CENTRO NACIONAL DE LA MUSICA;63;49;270221878;0.02
2018;CONCEJO MUNICIPAL DE DISTRITO DE COLORADO DE ABANGARES;153;149;263316900;0.02
2018;MINISTERIO DE LA PRESIDENCIA;131;107;255481908;0.02
2018;LABORATORIO COSTARRICENSE DE METROLOGIA;65;55;245968722;0.02
2018;UNION NACIONAL DE GOBIERNOS LOCALES;118;101;245618770;0.02
2018;FONDO NACIONAL DE FINANCIAMIENTO FORESTAL;124;93;235437519;0.02
2018;MUSEO DE ARTE Y DISEÑO CONTEMPORANEO;56;48;229742965;0.02
2018;MUNICIPALIDAD DE SAN MATEO;31;29;221533667;0.02
2018;FEDERACION MUNICIPAL DEL CARIBE COSTARRICENSE Y ASOCIADOS;40;36;220795971;0.02
2018;CORPORACION ARROCERA NACIONAL;164;163;214198903;0.02
2018;COLEGIO DE ABOGADOS DE COSTA RICA;104;88;209245674;0.02
2018;MINISTERIO DE PLANIFICACION NACIONAL Y POLITICA ECONOMICA;132;106;207722313;0.02
2018;COMISION NACIONAL DE VACUNACION Y EPIDEMIOLOGIA;3;2;207131200;0.02
2018;POPULAR VALORES PUESTO DE BOLSA S.A.;31;23;183846723;0.02
2018;CONSEJO NACIONAL DE LA POLITICA PUBLICA DE LA PERSONA JOVEN;22;18;181971632;0.01
2018;MUSEO DE ARTE COSTARRICENSE;59;47;178228995;0.01
2018;CIUDAD DE LOS NIÑOS (NO USAR);535;525;175958333;0.01
2018;BN CORREDORA DE SEGUROS S.A.;75;77;162733388;0.01
2018;SISTEMA NACIONAL DE EDUCACION MUSICAL;23;22;161624811;0.01
2018;INS RED DE SERVICIOS DE SALUD SOCIEDAD ANONIMA;39;51;151938836;0.01
2018;CONSEJO NACIONAL DE PRODUCCION;11;12;146484117;0.01
2018;ASOCIACION HOGAR CREA INTERNACIONAL INCORPORADO CAPITULO DE COSTA RICA;335;334;142678414;0.01
2018;HOSPITAL LOS CHILES -REGION HUETAR NORTE;21;19;139847690;0.01
2018;MUSEO HISTORICO CULTURAL JUAN SANTAMARIA;18;18;130570198;0.01
2018;BN VALORES PUESTO DE BOLSA S.A.;73;68;125675684;0.01
2018;OPERADORA DE PENSIONES COMPLEMENTARIAS DE LA CCSS;80;77;124482253;0.01
2018;OPERADORA DE PENSIONES COMPLEMENTARIAS Y DE CAPITALIZACION LABORAL DE;60;46;117113831;0.01
2018;CONSEJO NACIONAL DE CLUBES 4-S;17;15;108203364;0.01
2018;CONSEJO DE SALUD OCUPACIONAL;18;16;107037736;0.01
2018;PATRONATO DE CONSTRUCCIONES INSTALACIONES Y ADQ DE BIENES;33;23;101967541;0.01
2018;CORPORACION GANADERA;69;54;100348690;0.01
2018;PROMOTORA COSTARRICENSE DE INNOVACION E INVESTIGACION;27;26;98974080;0.01
2018;LIGA AGRICOLA INDUSTRIAL DE LA CAÑA;50;50;94511924;0.01
2018;BCR SOCIEDAD ADMINISTRADORA DE FONDOS DE INVERSION SOCIEDAD ANONIMA;44;33;92721518;0.01
2018;SISTEMA DE EMERGENCIAS 911;10;8;88184909;0.01
2018;MINISTERIO DE VIVIENDA Y ASENTAMIENTOS HUMANOS;80;64;78776448;0.01
2018;FUNDACION MUNDO DE OPORTUNIDADES;4;4;71105514;0.01
2018;POPULAR SEGUROS CORREDURIA DE SEGUROS SOCIEDAD ANONIMA;48;46;63154154;0.01
2018;FUNDACION DEL PARQUE MARINO DEL PACIFICO;46;36;58314063;0
2018;CONSEJO NACIONAL DE CONCESIONES;56;45;56773825;0
2018;FEDERACION DE MUNICIPALIDADES DE GUANACASTE;1;1;56249583;0
2018;CONSEJO NACIONAL DE LA PERSONA ADULTA MAYOR;37;27;55844059;0
2018;INS VALORES PUESTO DE BOLSA SOCIEDAD ANONIMA;10;9;51297276;0
2018;BCR VALORES PUESTO DE BOLSA S.A.;28;23;46825347;0
2018;COMISION NACIONAL DE ASUNTOS INDIGENAS;1;1;45024285;0
2018;COMISION PARA EL ORDENAMIENTO Y MANEJO DE LA CUENCA DEL RIO REVENTAZON;3;3;38271307;0
2018;COLEGIO DE PERIODISTAS DE COSTA RICA;39;38;36851534;0
2018;POPULAR SOCIEDAD DE FONDOS DE INVERSION SOCIEDAD ANONIMA;14;12;36727200;0
2018;JUNTA ADMINISTRATIVA DE CEMENTERIOS DE GOICOECHEA;82;82;35276432;0
2018;ASOCIACION CARTAGINESA ATENCION CIUDADANOS TERCERA EDAD (ASCATE);27;28;34365729;0
2018;COMISION NACIONAL PARA LA GESTION DE LA BIODIVERSIDAD;9;7;31272986;0
2018;ASOCIACION COSTARRICENSE PARA EL TAMIZAJE Y LA PREVENCION DE DISCAPACI;31;30;26726391;0
2018;CONSEJO NACIONAL DE INVESTIGACION EN SALUD (CONIS);2;2;23492088;0
2018;BCR CORREDORA DE SEGUROS SOCIEDAD ANONIMA;15;13;18594615;0
2018;DEPOSITO AGRICOLA DE CARTAGO S.A.;4;4;16049363;0
2018;BCR PENSION OPERADORA DE PLANES DE PENSIONES COMPLEMENTARIAS SOCIEDAD;21;13;15946230;0
2018;OFICINA NACIONAL DE SEMILLAS;97;49;13693133;0
2018;AGENCIA DE PROTECCION DE DATOS DE LOS HABITANTES (PRODHAB);27;19;13410050;0
2018;CENTRO CULTURAL E HISTORICO JOSE FIGUERES FERRER;23;18;13263417;0
2018;OFICINA NACIONAL FORESTAL;9;6;12311903;0
2018;MINISTERIO DE GOBERNACION Y POLICIA;46;26;11859079;0
2018;ALMACEN FISCAL AGRICOLA DE CARTAGO S.A.;4;4;9564129;0
2018;JUNTA ADMINISTRATIVA DEL CEMENTERIO GENERAL Y LAS ROSAS DE ALAJUELA;19;19;5828118;0
2018;CONSEJO SUPERIOR DE EDUCACION;16;16;5014103;0
2018;INS INVERSIONES SOCIEDAD ADMINISTRADORA DE FONDOS DE INVERSION SOCIEDA;1;1;3212800;0
2018;CASA DE LA CULTURA DE PUNTARENAS;1;1;372318;0
2018;COLEGIO SAN LUIS GONZAGA;34;0;0;0
2018;MUSEO DOCTOR RAFAEL ANGEL CALDERON GUARDIA;3;0;0;0
2019;CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS);3178;2811;264151186495;18.09
2019;EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA SOCIEDAD ANONIMA;1688;1683;165714974712;11.35
2019;INSTITUTO NACIONAL DE APRENDIZAJE (INA);1720;1383;82057969817;5.62
2019;INSTITUTO COSTARRICENSE DE ACUEDUCTOS Y ALCANTARILLADOS (AYA);1896;1756;78700262418;5.39
2019;INSTITUTO NACIONAL DE SEGUROS (INS);1569;1451;53020862972;3.63
2019;INSTITUTO COSTARRICENSE DE ELECTRICIDAD;845;716;47747001878;3.27
2019;COMPAÑIA NACIONAL DE FUERZA Y LUZ;1705;1601;44192695388;3.03
2019;CONSEJO NACIONAL DE VIALIDAD;123;91;31193442785;2.14
2019;UNIVERSIDAD DE COSTA RICA;1071;942;30609007705;2.1
2019;MINISTERIO DE HACIENDA;245;219;26697717756;1.83
2019;HOSPITAL SAN JUAN DE DIOS;661;541;22336935540;1.53
2019;HOSPITAL SAN RAFAEL DE ALAJUELA;215;187;18919909530;1.3
2019;PATRONATO DE CONSTRUCCIONES INSTALACIONES Y ADQ DE BIENES;37;29;16552817116;1.13
2019;BANCO DE COSTA RICA;550;435;16489328815;1.13
2019;JUNTA ADMINISTRATIVA DEL REGISTRO NACIONAL;272;219;15418038448;1.06
2019;FUNDACION OMAR DENGO;45;44;15182448696;1.04
2019;CORTE SUPREMA DE JUSTICIA PODER JUDICIAL;2809;2468;14688196711;1.01
2019;MUNICIPALIDAD DE MORAVIA;360;332;14626859571;1
2019;DIRECCION NACIONAL DE CENTROS DE EDUCACION Y NUTRICION Y DE CENTROS DE;145;111;14084101763;0.96
2019;COMISION NACIONAL DE PREVENCION DE RIESGOS Y ATENCION DE EMERGENCIAS;325;268;13330958875;0.91
2019;MINISTERIO DE EDUCACION PUBLICA;313;302;12837504904;0.88
2019;REFINADORA COSTARRICENSE DE PETROLEO SOCIEDAD ANONIMA (RECOPE);335;214;12440938319;0.85
2019;UNIVERSIDAD NACIONAL (UNA);312;273;11651443503;0.8
2019;HOSPITAL NACIONAL DE NIÑOS;594;544;11594508647;0.79
2019;MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES;183;155;11209792962;0.77
2019;CONSEJO DE SEGURIDAD VIAL;307;260;10922748692;0.75
2019;BANCO NACIONAL DE COSTA RICA;344;280;10846475445;0.74
2019;BENEMERITO CUERPO DE BOMBEROS DE COSTA RICA;78;70;10486093966;0.72
2019;MUNICIPALIDAD DE CARTAGO;866;738;10334826558;0.71
2019;INSTITUTO DE DESARROLLO RURAL (INDER);278;238;10251940429;0.7
2019;TRIBUNAL SUPREMO DE ELECCIONES;492;438;9166314964;0.63
2019;INSTITUTO COSTARRICENSE DE TURISMO (ICT);336;306;7906541192;0.54
2019;MUNICIPALIDAD DE HEREDIA;473;440;7826258330;0.54
2019;MUNICIPALIDAD DE SAN JOSE;2055;1700;7676956436;0.53
2019;JUNTA ADMINISTRATIVA DE LA DIRECCION GENERAL DE MIGRACION Y EXTRANJERI;96;76;7647702478;0.52
2019;SERVICIO NACIONAL DE AGUAS SUBTERRANEAS RIEGO Y AVENAMIENTO;280;237;7203112592;0.49
